All Members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"December 6, 2024",,,,,,,,,,,,Last Increase,,52 Week Range,,Dividend Growth,,,,Trailing Total Returns,,,,,,,Performance,,Profitability,,,Financial Strength,,,Valuation,,,,

Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry
AIN,Albany International Corp.,,Industrials,7,80.4,1.29,1.20,0.26,4,1.04,0.250,18/12/2023,8/1/2024,67.39,99.41,4.01,9.14,7.64,5.31,4.18,6.08,At Fair Value,0,Blended,Ex-date,9,1.38,15.94,7.93,6.87,10.52,3.68,0.27,7.66,27.64,2.81,-9.24,,Machinery

AIT,"Applied Industrial Technologies, Inc.",,Industrials,15,275.01,0.54,1.33,0.37,4,1.48,0.350,14/2/2024,29/2/2024,162.19,282.98,5.04,3.68,3.49,4.07,45.46,36.68,Above Fair Value,68,Blended,Ex-date,4,5.70,0.85,8.57,11.22,23.36,3.79,0.26,13.54,22.43,4.90,0.96,,Trading Companies and Distributors

AIZ,"Assurant, Inc.",,Financials,20,225.37,1.42,1.81,0.8,4,3.20,0.720,9/12/2024,30/12/2024,160.12,230.55,2.86,2.95,3.72,10.73,40.81,10.00,In the Margin of Safety,-1,Blended,Ex-date,5,43.00,8.84,6.31,30.30,15.22,0.43,0.29,9.24,14.11,1.95,0.52,,Insurance

AJG,Arthur J. Gallagher & Co.,,Financials,14,303.58,0.79,1.19,0.6,4,2.40,0.550,29/2/2024,15/3/2024,218.63,316.72,8.80,7.54,6.70,5.10,24.58,25.02,Above Fair Value,16,Blended,Ex-date,7,1.08,15.81,10.99,11.65,10.33,1.06,0.42,8.42,52.31,5.07,6.82,,Insurance

AL,Air Lease Corporation,,Industrials,12,50.6,1.74,1.99,0.22,4,0.88,0.210,12/12/2024,9/1/2025,38.92,52.31,5.01,9.49,10.07,21.49,17.13,6.87,Above Fair Value,17,Blended,Ex-date,12,-1.66,6.52,19.58,15.39,7.33,1.10,0.73,3.26,10.28,0.66,-4.09,,Trading Companies and Distributors

ALB,Albemarle Corporation,,Materials,30,101.1,1.60,1.14,0.405,4,1.62,0.400,13/9/2024,1/10/2024,71.97,153.54,0.63,1.07,2.23,4.19,-43.49,-23.65,In the Margin of Safety,-14,Blended,Ex-date,4,0.00,-34.21,-28.80,5.14,-17.67,2.45,0.27,-6.68,-5.66,1.40,0.00,,Chemicals

ALE,"ALLETE, Inc.",,Utilities,14,64.76,4.35,4.71,0.705,4,2.82,0.678,14/2/2024,1/3/2024,55.86,65.86,4.11,3.66,3.76,3.69,27.36,7.19,At Fair Value,0,Blended,Ex-date,8,-27.58,-17.62,11.50,7.52,3.55,1.45,0.35,2.18,20.52,1.32,-5.22,,Electric Utilities

ALG,Alamo Group Inc.,,Industrials,10,195.73,0.53,0.50,0.26,4,1.04,0.220,12/1/2024,29/1/2024,163.74,231.40,19.05,22.06,16.31,13.58,4.75,9.45,At Fair Value,0,Blended,Ex-date,17,-11.16,0.13,7.19,15.46,12.53,4.15,0.20,8.80,18.05,2.12,1.67,,Machinery

ALL,The Allstate Corporation,,Financials,14,204.23,1.80,2.48,0.92,4,3.68,0.890,1/3/2024,1/4/2024,134.17,209.88,3.70,7.12,13.25,12.85,74.16,17.28,Above Fair Value,4,Blended,Ex-date,15,0.00,11.67,6.78,32.06,23.79,0.44,0.28,13.70,12.17,2.67,0.73,,Insurance

ALLE,Allegion plc,,Industrials,11,140.32,1.37,1.42,0.48,4,1.92,0.450,14/3/2024,29/3/2024,106.66,156.10,7.39,10.53,13.13,22.93,41.99,4.91,At Fair Value,0,Blended,Ex-date,15,3.24,3.02,15.36,7.73,40.83,1.71,0.62,13.04,22.29,8.07,3.56,,Building Products

ALRS,Alerus Financial Corporation,,Financials,25,21.87,3.66,3.15,0.2,4,0.80,0.190,14/6/2024,15/7/2024,18.09,25.85,5.41,7.96,6.86,7.75,30.64,-5.31,In the Margin of Safety,-5,Blended,Pay date,11,-91.33,-16.78,1.88,1.20,0.84,0.04,0.00,,142.21,1.18,-3.61,,Diversified Financial Services

ALSN,"Allison Transmission Holdings, Inc.",,Industrials,5,117.09,0.85,1.80,0.25,4,1.00,0.230,1/3/2024,15/3/2024,54.25,122.53,8.89,9.82,10.32,7.40,64.94,42.10,Above Fair Value,41,Blended,Ex-date,11,18.57,7.59,22.66,9.52,51.77,2.83,0.60,16.14,11.52,5.15,1.16,,Machinery

AMAT,"Applied Materials, Inc.",,Information Technology,7,172.03,0.93,1.00,0.4,4,1.60,0.320,22/5/2024,13/6/2024,144.57,255.89,24.14,16.11,11.93,13.67,47.07,17.22,At Fair Value,0,Blended,Ex-date,13,6.33,2.49,26.41,10.50,40.61,2.51,0.25,20.66,21.50,8.07,0.88,,Semiconductors and Semiconductor Equipment

AMCR,Amcor plc,,Materials,5,10.24,4.98,4.50,0.128,4,0.51,0.125,21/11/2024,11/12/2024,8.78,11.48,2.05,2.09,33.04,,30.15,3.87,In the Margin of Safety,-11,Blended,Ex-date,38,-19.27,-6.07,5.68,0.83,19.59,1.29,0.67,7.08,21.29,4.18,1.89,,Containers and Packaging

AME,"AMETEK, Inc.",,Industrials,5,193.96,0.58,0.68,0.28,4,1.12,0.250,7/3/2024,28/3/2024,149.03,198.33,12.38,11.81,14.25,13.78,16.97,12.21,At Fair Value,0,Blended,Ex-date,15,3.85,6.46,19.28,7.88,14.89,1.39,0.22,9.66,29.81,4.16,3.30,,Electrical Equipment

AMGN,Amgen Inc.,,Health Care,13,274.33,3.28,2.99,2.25,4,9.00,2.130,15/2/2024,7/3/2024,257.80,346.85,6.61,8.88,9.39,14.47,23.51,18.58,At Fair Value,0,Blended,Ex-date,13,-44.25,21.25,13.01,13.53,55.73,1.32,0.89,6.14,40.87,23.01,-4.24,,Biotechnology

AMP,"Ameriprise Financial, Inc.",,Financials,19,565.21,1.05,1.79,1.48,4,5.92,1.350,3/5/2024,17/5/2024,352.32,577.00,8.85,9.26,8.64,9.92,44.63,23.10,Above Fair Value,21,Blended,Ex-date,10,0.34,11.50,15.52,81.84,56.76,2.98,0.41,42.05,17.72,8.00,1.36,,Capital Markets

AMSF,"AMERISAFE, Inc.",,Financials,12,58.84,0.63,2.43,0.37,1,0.37,0.340,7/3/2024,22/3/2024,41.97,60.24,9.03,8.99,8.38,12.67,6.74,4.79,Above Fair Value,6,Blended,Ex-date excl. specials,9,-3.39,2.82,19.49,0.91,18.90,2.23,0.00,14.66,15.03,2.93,-3.42,,Insurance

ANDE,"The Andersons, Inc.",,Consumer Staples,28,46.14,1.65,2.17,0.19,4,0.76,0.185,29/12/2023,22/1/2024,41.77,61.46,-22.98,-6.62,-3.47,2.63,-1.63,19.47,At Fair Value,0,Blended,Ex-date,-2,82.88,-30.02,1.06,9.23,13.13,1.98,0.28,6.23,14.18,1.28,0.56,,Food and Staples Retailing

AON,Aon Plc,,Financials,13,379.73,0.71,0.77,0.675,4,2.70,0.615,30/4/2024,15/5/2024,268.06,395.33,9.79,9.97,8.96,11.75,7.63,7.42,At Fair Value,0,Blended,Ex-date,10,-11.44,13.68,16.33,14.94,82.19,1.08,0.74,13.05,29.45,12.00,2.03,,Insurance

AOS,A. O. Smith Corporation,,Industrials,31,72.32,1.88,1.82,0.34,4,1.36,0.320,31/10/2024,15/11/2024,70.73,92.45,6.67,7.17,7.79,16.21,38.06,15.73,In the Margin of Safety,-1,Blended,Ex-date,10,92.74,2.45,14.42,4.03,29.55,1.68,0.07,22.18,23.52,6.80,2.47,,Building Products

APD,"Air Products and Chemicals, Inc.",,Materials,42,321.97,2.20,2.20,1.77,4,7.08,1.750,28/3/2024,13/5/2024,212.24,337.00,-23.00,-3.25,2.93,5.77,7.27,7.61,At Fair Value,0,Blended,Ex-date,5,67.43,-3.97,31.64,16.39,22.58,1.53,0.45,5.89,17.25,3.89,1.04,,Chemicals

APH,Amphenol Corporation,,Information Technology,13,74.39,0.89,0.94,0.165,4,0.66,0.110,17/9/2024,9/10/2024,45.92,74.93,17.86,19.51,16.07,16.64,56.48,22.40,At Fair Value,0,Blended,Ex-date excl. specials,17,13.20,14.17,15.41,2.34,25.30,2.00,0.37,13.97,35.70,8.31,2.72,,"Electronic Equipment, Instruments and Components"

APOG,"Apogee Enterprises, Inc.",,Industrials,13,82.99,1.20,2.25,0.25,4,1.00,0.240,29/1/2024,14/2/2024,47.83,87.93,5.32,7.93,7.73,9.77,51.47,25.37,Above Fair Value,19,Blended,Ex-date,9,3.32,-3.64,7.59,9.42,22.22,1.65,0.18,15.93,14.00,2.90,0.60,,Building Products

ARE,"Alexandria Real Estate Equities, Inc.",,Real Estate,14,105.43,4.93,3.50,1.3,4,5.20,1.270,28/6/2024,15/7/2024,102.89,135.45,4.90,5.16,5.47,6.19,23.68,-11.47,In the Margin of Safety,-27,Blended,Ex-date,10,18.06,10.22,9.62,9.66,2.14,2.78,0.38,1.50,72.20,1.13,8.46,,Equity Real Estate Investment Trusts (REITs)

ARES,Ares Management Corporation,,Financials,5,177.07,2.10,3.02,0.93,4,3.72,0.770,14/3/2024,29/3/2024,107.82,180.38,21.92,25.30,23.49,34.78,55.63,32.35,Above Fair Value,21,Blended,Ex-date,26,0.99,4.67,12.52,7.31,21.69,0.60,0.72,3.11,70.24,15.15,3.54,,Capital Markets

AROW,Arrow Financial Corporation,,Financials,31,32.22,3.48,4.11,0.28,4,1.12,0.270,15/10/2024,29/10/2024,21.51,34.63,3.00,4.31,3.78,3.60,75.80,-0.03,At Fair Value,0,Blended,Ex-date excl. specials,7,-2.96,1.35,24.22,0.75,8.76,0.09,0.00,,14.62,1.22,-7.17,,Banks

ARTN.A,Artesian Resources Corporation,,Utilities,32,33.5,3.60,2.74,0.302,4,1.21,0.296,15/11/2024,25/11/2024,32.94,44.70,4.06,4.15,3.70,3.36,-8.76,1.62,In the Margin of Safety,-15,Blended,Ex-date,7,22.97,6.25,18.96,3.76,8.57,1.23,0.44,4.97,19.11,1.61,4.69,,Water Utilities

ASB,Associated Banc-Corp,,Financials,13,26.06,3.53,4.44,0.23,4,0.92,0.220,2/12/2024,16/12/2024,18.96,28.18,4.77,5.95,5.30,9.35,31.45,4.41,At Fair Value,0,Blended,Ex-date,9,-50.86,-19.32,19.25,2.92,4.55,0.04,0.00,,17.81,0.77,-1.85,,Banks

ASH,Ashland Global Holdings Inc.,,Materials,6,76.45,2.12,1.56,0.405,4,1.62,0.385,31/5/2024,15/6/2024,75.04,102.50,9.73,11.17,8.52,1.52,8.36,0.71,In the Margin of Safety,-17,Blended,Ex-date,11,28.13,-3.56,8.00,8.39,6.68,2.44,0.34,2.41,21.42,1.43,0.00,,Chemicals

ATO,Atmos Energy Corporation,,Utilities,40,143.04,2.43,2.62,0.87,4,3.48,0.805,25/11/2024,9/12/2024,110.46,152.65,8.79,8.81,8.93,8.09,34.61,19.37,At Fair Value,0,Blended,Ex-date,11,12.04,-2.58,25.04,11.37,9.06,0.94,0.41,4.40,20.30,1.78,2.16,,Gas Utilities

ATR,"AptarGroup, Inc.",,Materials,31,171.1,1.05,1.29,0.45,4,1.80,0.410,25/7/2024,15/8/2024,122.30,178.03,8.39,4.32,3.72,4.72,29.74,11.78,Above Fair Value,2,Blended,Ex-date,5,18.28,3.73,9.41,10.36,14.08,1.63,0.32,8.76,31.55,4.20,4.83,,Containers and Packaging

AUB,Atlantic Union Bankshares Corporation,,Financials,14,42.05,3.23,3.78,0.34,4,1.36,0.320,8/11/2024,22/11/2024,30.43,44.54,6.67,6.49,6.37,8.43,36.09,4.44,At Fair Value,0,Blended,Ex-date,10,-12.39,9.39,28.10,3.03,7.48,0.04,0.00,,15.82,1.07,460.10,,Banks

AUBN,"Auburn National Bancorporation, Inc.",,Financials,22,22.9999,4.70,4.04,0.27,4,1.08,0.265,9/3/2023,27/3/2023,16.48,25.25,0.47,1.43,1.76,2.37,12.42,-8.08,In the Margin of Safety,-22,Blended,Ex-date,6,-91.33,-30.76,3.71,2.64,1.17,0.10,0.00,,93.90,0.95,-2.49,,Banks

AVA,Avista Corporation,,Utilities,22,37.37,5.08,4.84,0.475,4,1.90,0.460,22/2/2024,15/3/2024,31.91,39.99,3.58,4.07,4.20,4.14,26.08,4.46,In the Margin of Safety,-6,Blended,Ex-date,9,15.23,10.22,10.25,6.37,7.98,0.75,0.55,3.49,15.40,1.22,-5.33,,Multi-Utilities

AVGO,Broadcom Inc.,,Information Technology,15,170.47,1.24,2.74,0.53,4,2.12,0.525,19/9/2024,30/9/2024,91.06,186.42,14.41,13.50,14.71,33.98,110.87,56.33,Above Fair Value,67,Blended,Ex-date,16,-63.47,32.05,10.89,4.28,12.51,1.04,0.52,9.37,117.67,10.24,11.37,,Semiconductors and Semiconductor Equipment

AVNT,Avient Corporation,,Materials,14,49.91,2.16,2.59,0.27,4,1.08,0.258,13/12/2024,8/1/2025,35.33,54.68,4.05,6.62,5.72,12.41,45.97,5.28,At Fair Value,0,Blended,Ex-date,8,379.60,-0.04,4.67,3.17,6.41,1.63,0.47,5.28,30.82,1.95,2.32,,Chemicals

AVT,"Avnet, Inc.",,Information Technology,11,54.67,2.41,2.67,0.33,4,1.32,0.310,11/9/2024,25/9/2024,43.62,59.24,6.79,12.72,9.24,7.53,15.61,16.63,Above Fair Value,2,Blended,Ex-date,12,-55.41,-11.86,1.52,9.34,7.07,2.25,0.39,6.26,14.00,0.95,0.58,,"Electronic Equipment, Instruments and Components"

AVY,Avery Dennison Corporation,,Materials,14,203.29,1.73,1.62,0.88,4,3.52,0.810,5/6/2024,20/6/2024,190.04,233.48,8.34,9.14,8.97,10.20,22.78,3.82,At Fair Value,0,Blended,Ex-date,11,40.00,4.85,7.77,11.17,30.25,0.93,0.57,12.91,26.58,7.48,1.10,,Containers and Packaging

AWI,"Armstrong World Industries, Inc.",,Industrials,7,158.91,0.78,1.10,0.308,4,1.23,0.280,7/11/2024,21/11/2024,92.06,164.40,10.24,10.07,9.86,,84.50,12.53,Above Fair Value,11,Blended,Ex-date excl. specials,11,13.88,8.00,17.95,5.42,38.32,1.64,0.47,13.28,23.08,8.01,5.47,,Building Products

AWK,"American Water Works Company, Inc.",,Utilities,16,132.1,2.32,1.80,0.765,4,3.06,0.708,13/5/2024,3/6/2024,113.34,150.68,8.08,8.52,9.05,9.58,20.81,-2.88,In the Margin of Safety,-16,Blended,Adjusted ex-date,11,3.71,9.25,21.78,9.91,9.71,0.59,0.57,4.48,29.05,2.76,3.85,,Water Utilities

AWR,American States Water Company,,Utilities,70,82.74,2.25,1.88,0.466,4,1.86,0.430,16/8/2024,3/9/2024,66.03,87.50,8.20,8.62,9.22,7.91,8.22,1.03,In the Margin of Safety,-12,Blended,Ex-date,11,-10.31,-3.08,19.27,3.91,13.48,0.70,0.52,6.64,27.96,3.58,4.50,,Water Utilities

AXS,AXIS Capital Holdings Limited,,Financials,20,94.05,1.87,3.41,0.44,4,1.76,0.430,29/12/2022,18/1/2023,53.49,94.54,0.00,1.77,2.06,5.01,45.08,24.08,At Fair Value,0,Blended,Ex-date,4,15.04,6.38,10.82,20.55,11.62,0.64,0.20,6.92,10.96,1.21,0.25,,Insurance

BAC,Bank of America Corporation,,Financials,11,47,2.21,2.67,0.26,4,1.04,0.240,6/9/2024,27/9/2024,30.45,48.08,8.89,9.33,9.24,28.48,48.97,0.36,At Fair Value,0,Blended,Ex-date,11,-22.88,-2.22,24.96,-0.26,8.10,0.42,0.00,,14.33,1.13,60.36,,Banks

BAH,Booz Allen Hamilton Holding Corporation,,Information Technology,13,142.7,1.43,1.60,0.51,4,2.04,0.470,9/2/2024,1/3/2024,123.17,190.59,8.70,12.10,17.85,16.90,51.05,29.23,At Fair Value,0,Blended,Ex-date excl. specials,19,186.52,13.94,7.26,7.87,72.95,1.56,0.76,15.71,25.57,17.34,1.75,,IT Services

BANF,BancFirst Corporation,,Financials,31,127.92,1.44,2.14,0.46,4,1.84,0.430,30/9/2024,15/10/2024,81.21,132.29,7.37,8.24,7.49,10.67,23.62,22.75,Above Fair Value,21,Blended,Ex-date,9,-5.63,-0.02,34.33,8.70,14.14,0.27,0.00,,16.64,2.21,1.78,,Banks

BBY,"Best Buy Co., Inc.",,Consumer Discretionary,21,89.8,4.19,3.72,0.94,4,3.76,0.920,20/3/2024,11/4/2024,69.29,103.71,2.75,12.17,13.92,18.25,55.37,3.70,In the Margin of Safety,-9,Blended,Declaration date excl. specials,18,1.15,-3.03,3.01,8.08,43.10,1.01,0.57,15.90,15.44,6.34,29.18,,Specialty Retail

BC,Brunswick Corporation,,Consumer Discretionary,12,77.64,2.16,1.82,0.42,4,1.68,0.400,23/2/2024,15/3/2024,69.05,99.68,6.08,11.12,14.60,14.60,8.29,-2.37,At Fair Value,0,Blended,Ex-date,17,-39.01,-17.79,5.03,6.03,14.16,1.97,0.58,7.04,19.64,2.75,0.11,,Leisure Products

BCC,Boise Cascade Company,,Materials,7,144.44,0.58,0.76,0.21,4,0.84,0.200,3/9/2024,16/9/2024,109.02,155.42,24.62,26.52,17.61,,49.80,49.04,Above Fair Value,63,Blended,Ex-date excl. specials,18,-19.07,-0.32,5.96,12.96,18.28,3.13,0.20,12.11,13.71,2.56,0.00,,Paper and Forest Products

BCPC,Balchem Corporation,,Materials,14,176.38,0.45,0.57,0.79,1,0.79,0.710,26/12/2023,19/1/2024,131.10,186.03,11.27,10.85,10.95,11.76,42.65,7.19,At Fair Value,0,Blended,Ex-date,11,17.00,1.75,12.90,6.11,11.04,2.98,0.18,7.21,46.73,4.87,5.34,,Chemicals

BDX,"Becton, Dickinson and Company",,Health Care,52,222.24,1.87,1.46,1.04,4,4.16,0.950,9/12/2024,31/12/2024,218.75,249.89,4.40,4.61,4.30,5.72,-5.24,0.84,In the Margin of Safety,-12,Blended,Ex-date,6,14.60,4.17,8.45,13.11,6.60,1.17,0.45,4.05,40.98,2.70,5.13,,Healthcare Equipment and Supplies

BEN,"Franklin Resources, Inc.",,Financials,44,22.4,5.71,5.11,0.32,4,1.28,0.310,30/12/2024,10/1/2025,18.95,30.32,3.34,3.46,3.59,9.96,-13.76,-7.93,In the Margin of Safety,-4,Blended,Declaration date excl. specials,9,-50.82,8.01,5.49,1.91,4.33,4.17,0.21,4.43,23.76,0.85,-1.29,,Capital Markets

BF.A,Brown-Forman Corporation,,Consumer Staples,25,45.11,2.01,1.31,0.227,4,0.91,0.218,6/12/2024,2/1/2025,39.33,61.45,5.99,6.66,5.59,6.51,-15.81,-6.74,In the Margin of Safety,-22,Blended,Ex-date excl. specials,8,30.40,-4.52,24.62,1.44,28.05,2.71,0.47,10.22,20.54,5.56,5.91,,Beverages

BF.B,Brown-Forman Corporation,,Consumer Staples,40,45.38,2.00,1.28,0.227,4,0.91,0.218,6/12/2024,2/1/2025,39.95,60.97,5.99,6.66,5.59,6.51,-13.23,-8.14,In the Margin of Safety,-24,Blended,Ex-date excl. specials,8,30.40,-4.52,24.62,1.44,28.05,2.71,0.47,10.22,20.75,5.62,5.97,,Beverages

BFC,Bank First Corporation,,Financials,11,106.5,1.69,1.43,0.45,4,1.80,0.400,23/12/2024,6/1/2025,74.90,110.49,0.00,18.57,11.85,12.02,19.53,10.26,At Fair Value,0,Blended,Declaration date excl. specials,14,53.77,26.33,45.02,5.48,13.75,0.06,0.00,,11.13,1.45,0.67,,Banks

